Vehicle_ID,Frame_ID,Local_X,Local_Y,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Scenario,Lane_Change_Frame,Source_La,Target_La,Changing_Time_Offs,SL_Leading_ID,SL_Leading_Local_X,SL_Leading_Local_Y,SL_Leading_Speed_X,SL_Leading_Speed_Y,SL_Following_ID,SL_Following_Local_X,SL_Following_Local_Y,SL_Following_Speed_X,SL_Following_Speed_Y,TL_Leading_ID,TL_Leading_Local_X,TL_Leading_Local_Y,TL_Leading_Speed_X,TL_Leading_Speed_Y,TL_Following_ID,TL_Following_Local_X,TL_Following_Local_Y,TL_Following_Speed_X,TL_Following_Speed_Y,PET,TTC,MTTC,FL_TTC,Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame
27,48,3562.3,24.425,3.2143,-0.89286,5.2,2.1,-15.642,2,2,73,2,1,-2.5,,,,,,,,,,,43.0,3679.3,20.639,4.0357,-1.3929,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,49,3565.5,24.336000000000002,3.25,-0.85714,5.2,2.1,-15.87,2,2,73,2,1,-2.4,,,,,,,,,,,43.0,3683.4,20.5,4.0357,-1.3571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,50,3568.8,24.25,3.1786,-0.89286,5.2,2.1,-15.794,2,2,73,2,1,-2.3,,,,,,,,,,,43.0,3687.4,20.363999999999997,3.9643,-1.3571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,51,3572.0,24.161,3.2143,-0.96429,5.2,2.1,-15.496,2,2,73,2,1,-2.2,,,,,,,,,,,43.0,3691.4,20.229,4.0357,-1.4286,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,52,3575.2,24.064,3.2143,-0.92857,5.2,2.1,-15.25,2,2,73,2,1,-2.1,,,,,,,,,,,43.0,3695.4,20.086000000000002,4.0714,-1.5,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,53,3578.4,23.971,3.1429,-0.92857,5.2,2.1,-15.35,2,2,73,2,1,-2.0,,,,,,,,,,,43.0,3699.5,19.936,4.0714,-1.4643,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,54,3581.5,23.878999999999998,3.2143,-0.89286,5.2,2.1,-15.87,2,2,73,2,1,-1.9,,,,,,,,,,,43.0,3703.5,19.788999999999998,4.0,-1.4643,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,55,3584.8,23.788999999999998,3.1071,-0.92857,5.2,2.1,-16.171,2,2,73,2,1,-1.8,,,,,,,,,,,43.0,3707.5,19.643,4.1071,-1.4643,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,56,3587.9,23.696,3.0714,-0.96429,5.2,2.1,-16.171,2,2,73,2,1,-1.7,,,,,,,,,,,43.0,3711.6,19.496000000000002,4.1071,-1.5714,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,57,3590.9,23.6,3.1429,-0.96429,5.2,2.1,-16.86,2,2,73,2,1,-1.6,,,,,,,,,,,43.0,3715.7,19.339,4.25,-1.6071,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,58,3594.1,23.503999999999998,3.1071,-0.96429,5.2,2.1,-16.331,2,2,73,2,1,-1.5,,,,,,,,,,,43.0,3720.0,19.179,4.2143,-1.6429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,59,3597.2,23.407,3.1429,-0.92857,5.2,2.1,-16.171,2,2,73,2,1,-1.4,,,,,,,,,,,43.0,3724.2,19.014,4.3214,-1.6429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,60,3600.3,23.314,3.1786,-1.0,5.2,2.1,-17.222,2,2,73,2,1,-1.3,,,,,,,,,,,43.0,3728.5,18.85,4.2857,-1.6429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,61,3603.5,23.214,3.25,-1.0714,5.2,2.1,-16.39,2,2,73,2,1,-1.2,,,,,,,,,,,43.0,3732.8,18.686,4.3571,-1.6786,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,62,3606.7,23.107,3.25,-1.1071,5.2,2.1,-17.581,2,2,73,2,1,-1.1,,,,,,,,,,,43.0,3737.2,18.518,4.3571,-1.7857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,63,3610.0,22.996000000000002,3.3929,-1.0714,5.2,2.1,-17.222,2,2,73,2,1,-1.0,,,,,,,,,,,43.0,3741.5,18.339,4.3929,-1.7143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,64,3613.4,22.889,3.3929,-1.1429,5.2,2.1,-18.083,2,2,73,2,1,-0.9,,,,,,,,,,,43.0,3745.9,18.168,4.3571,-1.6786,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,65,3616.8,22.775,3.4643,-1.1429,5.2,2.1,-17.222,2,2,73,2,1,-0.8,,,,,,,,,,,43.0,3750.3,18.0,4.3214,-1.6429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,66,3620.2,22.661,3.6071,-1.2143,5.2,2.1,-17.187,2,2,73,2,1,-0.7,,,,,,,,,,,43.0,3754.6,17.836000000000002,4.3214,-1.8214,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
