Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Event_Index,Vehicle_ID_Event,Start_Frame,End_Frame,Lane_Change_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame,Time_Offset
101,489,1014,384,1014,363,963,363,963,383,988.32,373.39,1,1,20.5,0.14286,4.8,2.0,0.56165,2,1,101,452,527,454,3,2,3->2,404,504,3.5
101,490,1034,384,1034,364,983,364,983,384,1008.8,373.54,1,1,20.536,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,3.6
101,491,1055,384,1055,363,1004,363,1004,384,1029.4,373.75,1,1,20.536,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,3.7
101,492,1075,385,1076,364,1024,363,1024,384,1049.9,373.96,1,1,20.429,0.17857,4.8,2.0,1.1125,2,1,101,452,527,454,3,2,3->2,404,504,3.8
101,493,1095,385,1096,364,1045,363,1045,384,1070.3,374.14,1,1,20.5,0.17857,4.8,2.0,1.1345,2,1,101,452,527,454,3,2,3->2,404,504,3.9
101,494,1116,385,1117,364,1066,364,1066,385,1090.8,374.32,1,1,20.5,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.0
101,495,1136,385,1136,364,1087,364,1087,385,1111.3,374.54,1,1,20.571,0.17857,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.1
101,496,1156,385,1156,365,1107,364,1107,384,1131.9,374.71,1,1,20.393,0.17857,4.8,2.0,1.1691,2,1,101,452,527,454,3,2,3->2,404,504,4.2
101,497,1176,385,1176,366,1128,365,1128,385,1152.3,374.89,1,1,20.464,0.071429,4.8,2.0,0.59674,2,1,101,452,527,454,3,2,3->2,404,504,4.3
101,498,1197,385,1198,366,1149,365,1148,384,1172.8,374.96,1,1,20.429,0.071429,4.8,2.0,1.1691,2,1,101,452,527,454,3,2,3->2,404,504,4.4
101,499,1218,385,1218,366,1170,365,1169,385,1193.2,375.04,1,1,20.571,0.14286,4.8,2.0,0.59674,2,1,101,452,527,454,3,2,3->2,404,504,4.5
101,500,1238,385,1238,366,1188,365,1188,385,1213.8,375.18,1,1,20.643,0.071429,4.8,2.0,0.57288,2,1,101,452,527,454,3,2,3->2,404,504,4.6
101,501,1259,385,1259,365,1210,365,1210,385,1234.4,375.25,1,1,20.571,0.10714,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.7
101,502,1279,385,1279,365,1230,365,1230,385,1255.0,375.36,1,1,20.643,0.071429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.8
101,503,1300,385,1300,366,1251,366,1251,385,1275.6,375.43,1,1,20.786,0.10714,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.9
101,504,1321,386,1321,366,1272,366,1272,385,1296.4,375.54,1,1,20.75,0.21429,4.8,2.0,0.58457,2,1,101,452,527,454,3,2,3->2,404,504,5.0
1132,8632,47,407,47,387,-1,386,-2,406,21.5,396.25,1,1,20.25,0.0,5.0,1.9,1.1813,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-2.4
1132,8633,69,406,69,386,13,385,13,406,41.75,396.25,1,1,20.25,-0.05,5.0,1.9,0.51152,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-2.3
1132,8634,89,407,89,387,34,386,34,406,62.0,396.2,1,1,20.536,0.085714,5.0,1.9,1.0416,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-2.2
1132,8635,110,407,111,386,54,385,54,406,82.536,396.29,1,1,20.393,-0.10714,5.0,1.9,1.0141,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-2.1
1132,8636,130,407,130,386,75,386,75,406,102.93,396.18,1,1,20.714,-0.035714,5.0,1.9,0.52081,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-2.0
